0.000000000000000000e+00 3.950821961436601359e-02 1.882436947779369402e-02 3.176905322785647523e-02 -1.338558465823655279e-02 -1.971807667510755879e-04 1.874574415028268642e-03 -2.629963575649561791e-03 8.086113988308298939e-04 -6.146359107192835014e-04
1.000000000000000056e-01 -1.613905942432720259e-02 -2.939556088765239716e-02 -1.337468712426629486e-03 -3.167826113772678233e-03 -1.489452533772313986e-02 -6.649863791688946819e-03 -1.396236333392297975e-02 -5.802498286446693306e-03 -6.493271516683584051e-03
2.000000000000000111e-01 -2.534541020948866685e-01 -8.030329058812188392e-02 -3.284747192007008570e-02 -5.440831714167020106e-02 -3.499679058889110933e-03 -1.023839415883354143e-02 -1.780863609993928870e-02 -2.159043025475176208e-02 -1.551891391750685571e-02
3.000000000000000444e-01 -1.794748068923730511e-01 -2.860283717182849489e-03 1.017741539185324645e-02 -3.683124889909850097e-02 -2.907656753820920051e-02 -1.807211460493912333e-02 -1.428343905939454331e-02 -1.824668813460211814e-02 -2.148808544667624165e-02
4.000000000000000222e-01 -2.590687237562014356e-02 3.885247581687584911e-03 -1.890136848144000070e-03 -6.656714112421776089e-03 -1.758507995908134211e-02 -2.761099875231981526e-02 -2.112698903759717070e-02 -2.281995753106894759e-02 -2.144327996287800908e-02
5.000000000000000000e-01 -2.043687962621871246e-01 -5.331286027990998072e-02 -9.719591204421843683e-03 -1.973148655973572946e-02 -3.412501510106151492e-02 -1.934889848187837033e-02 -2.153306185295224620e-02 -2.520187981707761038e-02 -1.987384400833563936e-02
6.000000000000000888e-01 -3.488616124784427175e-02 -6.467364028857347513e-02 -1.580754575303018258e-02 -1.617013840235412281e-02 -2.062810282837463510e-02 -8.078605459004940814e-03 -1.392079604863272202e-02 -2.055084573972582734e-02 -1.789747580267812832e-02
7.000000000000000666e-01 8.745858671749330571e-02 1.441222187480419373e-02 3.059036842250085347e-02 1.255413676683257707e-02 -2.829624780244409388e-02 -1.035590774112329394e-02 -1.531521650615220304e-02 -1.223516201574242901e-02 -1.146025634333394314e-02
8.000000000000000444e-01 1.523328787288201827e-02 -1.193104297382551957e-02 -1.962297717113394707e-02 1.678338021632045859e-02 -4.589471279935728593e-03 -5.509815273706218652e-04 -9.025509042731479081e-03 -3.808877795238161355e-03 -2.409614222599799731e-03
9.000000000000000222e-01 -1.503745845224636613e-01 -3.937128705678204915e-03 -3.388111902219011207e-02 4.112813153405412391e-03 -1.436870991873910250e-02 7.094152701592167445e-04 2.965789966933865367e-03 5.440104205044393217e-03 2.422181974016562097e-03
